airport_id,origin_codes,observed_seq_count,station_ids,unique_station_count,spatial_qualified,all_station_dates_complete_365,final_date_supported
10135,ABE,2,USW00014737,1,True,True,True
10136,ABI,2,USW00013962,1,True,True,True
10140,ABQ,2,USW00023050,1,True,True,True
10141,ABR,2,USW00014929,1,True,True,True
10146,ABY,1,USW00013869,1,True,True,True
10155,ACT,2,USC00419417|USW00013959,2,True,False,False
10157,ACV,1,USW00024283,1,True,True,True
10158,ACY,2,USW00013753,1,True,False,False
10170,ADQ,1,USW00025501,1,True,True,True
10185,AEX,2,USW00013934,1,True,False,False
10208,AGS,1,USW00003820,1,True,True,True
10245,AKN,2,USW00025503,1,True,True,True
10257,ALB,2,USW00014735,1,True,True,True
10268,ALO,2,USW00094910,1,True,True,True
10275,ALW,1,USW00024160,1,True,True,True
10279,AMA,2,USC00410213,1,True,True,True
10299,ANC,1,USW00026451,1,True,True,True
10333,APN,1,USW00094849,1,True,True,True
10361,ART,1,USW00094790,1,True,True,True
10372,ASE,1,USW00093073,1,True,True,True
10397,ATL,2,USW00013874,1,True,True,True
10408,ATW,1,USW00004825,1,True,True,True
10423,AUS,1,USW00013904,1,True,True,True
10431,AVL,1,USW00003812,1,True,True,True
10434,AVP,2,USW00014777,1,True,True,True
10466,AZA,2,USW00023104,1,True,False,False
10469,AZO,2,USW00094815,1,True,True,True
10529,BDL,1,USW00014740,1,True,True,True
10551,BET,1,USW00026615,1,True,False,False
10558,BFF,2,USW00024028,1,True,True,True
10561,BFL,2,USW00023155,1,True,True,True
10577,BGM,1,USW00004725,1,True,True,True
10581,BGR,1,USW00014601,1,True,False,False
10599,BHM,1,USW00013876,1,True,True,True
10620,BIL,1,USW00024033,1,True,True,True
10627,BIS,2,USW00094071,1,True,False,False
10631,BJI,1,USW00014958,1,True,False,False
10666,BLI,1,USW00024217,1,True,True,True
10676,BLV,1,USW00013802,1,True,False,False
10685,BMI,2,USW00054831,1,True,True,True
10693,BNA,2,USW00013897,1,True,True,True
10713,BOI,1,USW00024131,1,True,True,True
10721,BOS,2,USW00014739,1,True,True,True
10728,BPT,2,USW00012917,1,True,True,True
10731,BQK,1,USW00053883,1,True,False,False
10739,BRD,1,USW00094938,1,True,True,True
