airport_id,origin_codes,date,airport_seq_id,station_id,assignment_status,daily_precipitation_raw,daily_precipitation_mm,trace_flag,weather_quality_status,usable_primary,stage_a_airport_qualified
10135,ABE,2025-01-01,1013506,USW00014737,PASS,0.0,0.000000,False,USABLE_NUMERIC,True,True
10135,ABE,2025-01-02,1013506,USW00014737,PASS,0.0,0.000000,False,USABLE_NUMERIC,True,True
10135,ABE,2025-01-03,1013506,USW00014737,PASS,T,0.000000,True,USABLE_TRACE,True,True
10135,ABE,2025-01-04,1013506,USW00014737,PASS,T,0.000000,True,USABLE_TRACE,True,True
10135,ABE,2025-01-05,1013506,USW00014737,PASS,0.0,0.000000,False,USABLE_NUMERIC,True,True
10135,ABE,2025-01-06,1013506,USW00014737,PASS,2.3,2.300000,False,USABLE_NUMERIC,True,True
10135,ABE,2025-01-07,1013506,USW00014737,PASS,0.0,0.000000,False,USABLE_NUMERIC,True,True
10135,ABE,2025-01-08,1013506,USW00014737,PASS,0.0,0.000000,False,USABLE_NUMERIC,True,True
10135,ABE,2025-01-09,1013506,USW00014737,PASS,0.0,0.000000,False,USABLE_NUMERIC,True,True
10135,ABE,2025-01-10,1013506,USW00014737,PASS,0.0,0.000000,False,USABLE_NUMERIC,True,True
10135,ABE,2025-01-11,1013506,USW00014737,PASS,1.3,1.300000,False,USABLE_NUMERIC,True,True
10135,ABE,2025-01-12,1013506,USW00014737,PASS,0.0,0.000000,False,USABLE_NUMERIC,True,True
10135,ABE,2025-01-13,1013506,USW00014737,PASS,0.0,0.000000,False,USABLE_NUMERIC,True,True
10135,ABE,2025-01-14,1013506,USW00014737,PASS,0.0,0.000000,False,USABLE_NUMERIC,True,True
10135,ABE,2025-01-15,1013506,USW00014737,PASS,0.0,0.000000,False,USABLE_NUMERIC,True,True
10135,ABE,2025-01-16,1013506,USW00014737,PASS,2.0,2.000000,False,USABLE_NUMERIC,True,True
10135,ABE,2025-01-17,1013506,USW00014737,PASS,0.0,0.000000,False,USABLE_NUMERIC,True,True
10135,ABE,2025-01-18,1013506,USW00014737,PASS,0.3,0.300000,False,USABLE_NUMERIC,True,True
10135,ABE,2025-01-19,1013506,USW00014737,PASS,10.7,10.700000,False,USABLE_NUMERIC,True,True
10135,ABE,2025-01-20,1013506,USW00014737,PASS,0.0,0.000000,False,USABLE_NUMERIC,True,True
10135,ABE,2025-01-21,1013506,USW00014737,PASS,0.0,0.000000,False,USABLE_NUMERIC,True,True
10135,ABE,2025-01-22,1013506,USW00014737,PASS,0.0,0.000000,False,USABLE_NUMERIC,True,True
10135,ABE,2025-01-23,1013506,USW00014737,PASS,0.0,0.000000,False,USABLE_NUMERIC,True,True
